Month,Coal,Natural Gas,Aviation Gasoline,Distillate Fuel Oil,Hydrocarbon Gas Liquids,Jet Fuel,Kerosene,Lubricants,Motor Gasoline,Petroleum Coke,Residual Fuel Oil,Other Petroleum Products,"Petroleum, Excluding Biofuels",Total Energy
2013 April,122.839,105.187,0.123,48.277,6.957,17.407,0.059,0.761,89.387,4.806,3.939,8.614,180.329,409.299
2013 May,130.27,93.477,0.162,48.491,6.405,18.179,0.015,0.896,94.255,7.368,3.642,10.397,189.81,414.532
2013 June,148.659,93.055,0.156,45.656,6.335,17.529,0.01,0.953,91.502,7.243,4.151,8.809,182.344,425.002
2013 July,163.651,103,0.175,46.604,6.441,19.263,0.012,0.851,95.626,6.945,5.443,11.361,192.722,460.349
2013 August,161.646,103.008,0.148,47.383,6.669,18.988,0.01,0.84,95.399,7.454,6.126,8.518,191.537,457.165
2013 September,144.805,94.322,0.111,46.285,7.261,17.08,0.048,0.805,90.308,7.23,5.368,11.268,185.764,425.835
2013 October,133.696,99.644,0.122,52.004,7.949,18.129,0.018,0.809,93.225,5.859,4.003,9.488,191.605,425.92
2013 November,132.736,124.072,0.152,48.43,8.551,17.23,0.004,0.673,90.084,7.053,5.229,10.827,188.231,445.982
2013 December,153.684,156.831,0.076,50.02,9.327,17.796,0.246,0.799,90.249,5.727,2.504,10.511,187.256,498.746
2014 January,166.007,173.028,0.104,56.062,9.794,16.999,0.234,0.731,86.195,8.156,4.866,7.564,190.706,530.722
2014 February,152.099,147.866,0.065,48.525,7.785,15.535,0.057,0.652,81.349,5.055,3.206,8.433,170.662,471.512
2014 March,145.142,137.731,0.129,52.433,7.404,17.855,0.03,1.012,90.862,3.342,2.695,8.57,184.332,468.185
2014 April,118.301,105.228,0.121,49.713,6.186,17.547,0.024,0.887,90.392,5.829,4.035,9.837,184.572,409.05
2014 May,129.289,96.985,0.143,50.974,5.284,17.446,0.025,0.903,94.07,6.842,3.366,9.3,188.353,415.608
2014 June,148.418,93.49,0.115,48.67,6.131,18.61,0.02,0.792,91.128,6.333,3.674,8.1,183.573,426.431
2014 July,161.877,100.845,0.189,49.87,5.951,19.421,0.149,0.96,96.453,7.68,3.784,8.932,193.39,457.093
2014 August,160.932,103.677,0.148,50.002,6.639,18.965,0.018,0.894,97.188,6.438,3.26,8.933,192.486,458.076
2014 September,138.666,96.97,0.122,49.122,6.877,17.866,0.226,0.974,89.005,7.418,4.022,10.338,185.969,422.555
2014 October,124.411,102.579,0.123,55.099,7.468,18.432,0.204,0.883,95.295,6.717,3.674,9.4,197.295,425.267
2014 November,131.168,126.808,0.111,48.995,8.085,17.798,0.077,0.927,89.874,7.18,4.899,9.136,187.081,446.007
2014 December,137.143,144.33,0.133,54.083,8.835,19.153,0.281,0.776,93.134,4.95,3.769,8.265,193.379,475.833
2015 January,142.545,168.982,0.086,54.183,9.43,17.134,0.032,1.067,90.088,7.485,4.414,8.02,191.939,504.441
2015 February,134.024,158.732,0.082,53.307,8.494,16.264,0.102,0.773,83.014,3.664,2.657,8.532,176.888,470.525
2015 March,118.113,140.326,0.095,52.69,8.077,19.288,0.143,1.061,94.408,6.975,3.944,8.496,195.177,454.592
2015 April,98.877,108.377,0.149,50.188,6.686,18.408,0.008,1.001,92.871,6.761,2.494,8.668,187.234,395.433
2015 May,114.853,100.139,0.145,48.695,6.425,18.928,0.259,1.109,96.391,7.101,3.52,11.212,193.785,409.752
2015 June,136.691,102.545,0.13,48.544,6.96,19.943,0.005,0.888,94.882,7.296,2.909,10.34,191.897,432.078
2015 July,150.857,111.72,0.192,50.182,7.128,20.562,0.011,1.091,98.68,7.407,4.887,10.83,200.971,464.524
2015 August,145.478,110.873,0.118,50.389,7.457,19.952,0.019,0.847,98.523,7.629,4.475,9.037,198.446,455.772
2015 September,128.633,102.609,0.115,50.561,6.38,18.495,0.008,0.86,93.543,5.085,3.884,8.238,187.169,419.355
2015 October,108.456,107.232,0.151,51.739,7.65,20.108,0.037,1.012,96.346,6.095,3.545,6.601,193.284,409.948
2015 November,99.576,121.584,0.097,46.666,7.32,18.372,0.016,0.702,91.736,5.487,4.366,8.868,183.63,405.734
2015 December,102.14,140.137,0.102,49.485,8.791,19.661,0.316,0.904,95.381,5.246,4.751,9.944,194.581,437.835
2016 January,123.354,167.55,0.08,49.729,9.531,18.056,0.025,0.947,90.187,7.062,4.586,9.211,189.412,481.289
2016 February,102.459,143.52,0.109,48.309,8.332,17.883,0.027,0.964,89.749,6.277,2.567,11.739,185.957,432.846
2016 March,83.018,127.319,0.104,50.908,7.785,19.269,0.132,0.995,97.638,6.771,5.41,9.038,198.049,409.359
2016 April,80.582,112.74,0.15,47.342,6.519,18.883,0.042,0.884,92.644,5.295,6.505,9.97,188.233,382.496
2016 May,91.717,106.259,0.122,48.02,6.658,19.658,0.1,0.922,98.05,5.139,4.844,8.653,192.167,391.117
2016 June,125.369,108.205,0.127,47.884,6.13,20.77,0.126,0.984,96.721,4.453,4.899,9.404,191.497,426.014
2016 July,145.265,118.425,0.13,46.213,6.828,21.429,0.136,0.799,99.68,6.008,6.358,8.738,196.318,460.981
2016 August,144.313,119.641,0.152,49.809,6.514,21.45,0.009,0.864,100.805,8.129,4.764,10.988,203.484,468.411
2016 September,123.404,105.19,0.113,48.64,6.852,19.716,0.17,0.845,95.586,5.14,3.669,9.602,190.333,419.868
2016 October,109.168,103.757,0.105,51.212,7.399,20.053,0.241,0.917,94.533,5.782,5.101,10.332,195.675,409.573
2016 November,97.103,116.776,0.12,48.987,7.236,19.681,0.024,0.817,92.862,8.714,4.428,8.589,191.458,406.279
2016 December,128.434,155.183,0.104,52.116,8.839,20.593,0.27,0.804,96.375,7.091,4.584,10.116,200.893,485.483
2017 January,125.636,156.5,0.1,48.734,10.062,19.853,0.174,0.733,88.429,7.666,6.89,9.397,192.038,475.149
2017 February,97.48,125.398,0.088,45.418,7.55,17.157,0.073,0.778,84.445,4.407,3.655,8.297,171.869,395.628
2017 March,99.086,135.867,0.107,53.519,7.861,20.796,0.019,0.925,97.502,3.276,5.426,10.916,200.348,436.278
2017 April,90.618,103.108,0.109,47.174,7.155,19.494,0.082,0.706,93.17,5.783,4.633,10.93,189.237,383.908
2017 May,102.842,101.685,0.124,51.011,6.645,20.813,0.037,0.754,99.85,6.302,5.512,9.652,200.699,406.201
2017 June,117.309,101.857,0.174,49.351,6.099,21.25,0.027,0.732,98.232,4.878,6.059,10.098,196.901,417.011
2017 July,137.356,113.895,0.137,47.691,6.845,21.532,0.007,0.687,99.724,8.551,4.072,10.112,199.356,451.583
